Timestamp,Raw
1840970,481
1841470,545
1841970,545
1842470,531
1842970,511
1843470,492
1843970,480
1844470,479
1844970,492
1845470,514
1845970,532
1846470,544
1846970,545
1847470,534
1847970,514
1848470,494
1848970,481
1849470,479
1849970,490
1850470,511
1850970,530
1851470,543
1851970,546
1852470,536
1852970,517
1853470,497
1853970,482
1854470,479
1854970,488
1855470,508
1855970,528
1856470,542
1856970,547
1857470,538
1857970,519
1858470,499
1858970,483
1859470,478
1859970,486
1860470,506
1860970,526
1861470,540
1861970,547
1862470,540
1862970,522
1863470,501
1863970,485
1864470,478
1864970,484
1865470,503
1865970,523
1866470,539
1866970,546
1867470,541
1867970,524
1868470,504
1868970,487
1869470,478
1869970,483
1870470,500
1870970,521
1871470,537
1871970,546
1872470,543
1872970,527
1873470,506
1873970,488
1874470,479
1874970,481
1875470,497
1875970,518
1876470,536
1876970,546
1877470,544
1877970,529
1878470,509
1878970,490
1879470,479
1879970,480
1880470,495
1880970,516
1881470,534
1881970,545
1882470,545
1882970,532
1883470,511
1883970,492
1884470,480
1884970,479
1885470,492
1885970,513
1886470,532
1886970,544
1887470,546
1887970,534
1888470,514
1888970,494
1889470,481
1889970,479
1890470,490
1890970,511
1891470,530
1891970,543
1892470,546
1892970,536
1893470,517
1893970,497
1894470,482
1894970,478
1895470,488
1895970,508
1896470,528
1896970,542
1897470,546
1897970,538
1898470,519
1898970,499
1899470,483
1899970,478
1900470,486
1900970,506
1901470,526
1901970,541
1902470,547
1902970,540
1903470,522
1903970,501
1904470,484
1904970,478
1905470,484
1905970,503
1906470,523
1906970,539
1907470,546
1907970,541
1908470,524
1908970,503
1909470,486
1909970,478
1910470,483
1910970,501
1911470,522
1911970,538
1912470,546
1912970,543
1913470,526
1913970,506
1914470,488
1914970,479
1915470,482
1915970,498
1916470,519
1916970,536
1917470,546
1917970,544
1918470,528
1918970,508
1919470,490
1919970,479
1920470,481
1920970,496
1921470,517
1921970,535
1922470,545
1922970,545
1923470,531
1923970,511
1924470,492
1924970,480
1925470,480
1925970,493
1926470,514
1926970,532
1927470,544
1927970,546
1928470,533
1928970,513
1929470,494
1929970,481
1930470,479
1930970,491
1931470,512
1931970,531
1932470,543
1932970,546
1933470,536
1933970,516
1934470,496
1934970,482
1935470,478
1935970,489
1936470,509
1936970,529
1937470,542
1937970,546
1938470,537
1938970,518
1939470,498
1939970,483
1940470,478
1940970,487
1941470,506
1941970,527
1942470,541
1942970,546
1943470,539
1943970,520
1944470,500
1944970,484
1945470,478
1945970,485
1946470,504
1946970,525
1947470,540
1947970,546
1948470,541
1948970,523
1949470,502
1949970,486
1950470,478
1950970,483
1951470,501
1951970,523
1952470,538
1952970,547
1953470,542
1953970,525
1954470,504
1954970,487
1955470,479
1955970,482
1956470,499
1956970,520
1957470,537
1957970,546
1958470,544
1958970,528
1959470,507
1959970,489
1960470,479
1960970,481
1961470,497
1961970,518
1962470,535
1962970,546
1963470,544
1963970,530
1964470,510
1964970,490
1965470,479
1965970,480
1966470,494
1966970,516
1967470,534
1967970,545
1968470,545
1968970,532
1969470,512
1969970,493
1970470,480
1970970,479
1971470,492
1971970,513
1972470,532
1972970,544
1973470,546
1973970,534
1974470,514
1974970,495
1975470,481
1975970,479
1976470,489
1976970,510
