Timestamp,Raw
1855644,536
1857644,533
1859644,525
1861644,512
1863644,498
1865644,490
1867644,491
1869644,499
1871644,513
1873644,526
1875644,534
1877644,535
1879644,525
1881644,512
1883644,501
1885644,490
1887644,490
1889644,500
1891644,513
1893644,526
1895644,534
1897644,534
1899644,528
1901644,511
1903644,498
1905644,490
1907644,490
1909644,499
1911644,512
1913644,526
1915644,534
1917644,536
1919644,525
1921644,512
1923644,499
1925644,490
1927644,490
1929644,499
1931644,512
1933644,527
1935644,535
1937644,533
1939644,526
1941644,512
1943644,500
1945644,490
1947644,490
1949644,501
1951644,513
1953644,525
1955644,535
1957644,533
1959644,526
1961644,512
1963644,500
1965644,491
1967644,492
1969644,499
1971644,511
1973644,525
1975644,534
1977644,534
1979644,526
1981644,513
1983644,502
1985644,490
1987644,490
1989644,498
1991644,512
1993644,525
1995644,534
1997644,534
1999644,528
2001644,513
2003644,499
2005644,491
2007644,490
2009644,498
2011644,512
2013644,525
2015644,534
2017644,536
2019644,526
2021644,513
2023644,500
2025644,491
2027644,490
2029644,499
2031644,511
2033644,527
2035644,533
2037644,534
2039644,526
2041644,514
2043644,500
2045644,491
2047644,490
2049644,500
2051644,511
2053644,524
2055644,533
2057644,534
2059644,527
2061644,514
2063644,500
2065644,491
2067644,492
2069644,499
2071644,510
2073644,526
2075644,533
2077644,534
2079644,526
2081644,514
2083644,503
2085644,492
2087644,491
2089644,497
2091644,510
2093644,524
2095644,533
2097644,534
2099644,529
2101644,515
2103644,502
2105644,492
2107644,489
2109644,497
2111644,511
2113644,524
2115644,534
2117644,537
2119644,526
2121644,513
2123644,501
2125644,491
2127644,490
2129644,498
2131644,512
2133644,526
2135644,533
2137644,534
2139644,527
2141644,514
2143644,501
2145644,491
2147644,490
2149644,499
2151644,512
2153644,523
2155644,533
2157644,535
2159644,527
2161644,514
2163644,501
2165644,491
2167644,491
2169644,498
2171644,510
2173644,525
2175644,533
2177644,534
2179644,527
2181644,515
2183644,503
2185644,491
2187644,489
2189644,498
2191644,510
2193644,524
2195644,533
2197644,536
2199644,529
2201644,516
2203644,500
2205644,492
2207644,490
2209644,498
2211644,510
2213644,524
2215644,533
2217644,537
2219644,527
2221644,515
2223644,501
2225644,492
2227644,489
2229644,497
2231644,510
2233644,526
2235644,532
2237644,535
2239644,528
2241644,515
2243644,502
2245644,492
2247644,490
2249644,498
2251644,511
2253644,522
2255644,532
2257644,535
2259644,528
2261644,515
2263644,502
2265644,492
2267644,492
2269644,496
2271644,510
2273644,523
2275644,533
2277644,535
2279644,529
2281644,516
2283644,504
2285644,492
2287644,489
2289644,498
2291644,509
2293644,522
2295644,533
2297644,535
2299644,529
2301644,516
2303644,502
2305644,492
2307644,490
2309644,496
2311644,509
2313644,523
2315644,532
2317644,537
2319644,528
2321644,516
2323644,502
2325644,492
2327644,490
2329644,496
2331644,509
2333644,525
2335644,532
2337644,534
2339644,529
2341644,516
2343644,503
2345644,492
2347644,489
2349644,497
2351644,510
2353644,522
2355644,532
2357644,535
2359644,529
2361644,516
2363644,502
2365644,493
2367644,491
2369644,496
2371644,508
2373644,522
2375644,532
2377644,535
2379644,529
2381644,517
2383644,505
2385644,493
2387644,489
2389644,496
2391644,509
2393644,523
2395644,531
2397644,535
2399644,529
2401644,518
2403644,502
2405644,492
2407644,489
2409644,496
2411644,508
2413644,522
2415644,532
2417644,537
2419644,528
2421644,516
2423644,503
2425644,492
2427644,489
2429644,496
2431644,508
2433644,524
2435644,533
2437644,535
2439644,530
2441644,517
2443644,504
2445644,493
2447644,490
2449644,496
2451644,509
2453644,521
2455644,532
2457644,535
2459644,530
2461644,517
2463644,504
2465644,493
2467644,492
2469644,495
2471644,507
2473644,521
2475644,532
2477644,535
2479644,529
2481644,517
2483644,506
2485644,493
2487644,489
2489644,495
2491644,508
2493644,521
2495644,532
2497644,535
2499644,530
2501644,518
2503644,503
2505644,493
2507644,489
2509644,495
2511644,507
2513644,521
2515644,532
2517644,538
2519644,529
2521644,518
2523644,504
2525644,493
2527644,489
2529644,496
2531644,508
2533644,523
2535644,531
2537644,535
2539644,530
2541644,518
2543644,504
2545644,494
2547644,490
2549644,496
2551644,508
2553644,520
2555644,532
2557644,535
2559644,529
2561644,518
2563644,504
2565644,493
2567644,492
2569644,495
2571644,507
2573644,520
2575644,531
2577644,535
2579644,530
2581644,518
2583644,507
2585644,495
2587644,491
2589644,496
2591644,507
2593644,521
2595644,531
2597644,534
2599644,531
2601644,519
2603644,506
2605644,493
2607644,489
2609644,496
2611644,507
2613644,520
2615644,531
2617644,536
2619644,528
2621644,518
2623644,504
2625644,493
2627644,490
2629644,495
2631644,507
2633644,522
2635644,530
2637644,535
2639644,530
2641644,519
2643644,506
2645644,494
2647644,490
2649644,495
2651644,508
2653644,519
2655644,530
2657644,536
2659644,530
2661644,519
2663644,505
2665644,494
2667644,492
2669644,494
2671644,506
2673644,520
2675644,530
2677644,537
2679644,532
2681644,519
2683644,506
2685644,495
2687644,488
2689644,494
2691644,506
