Timestamp,Raw
1854128,547
1854768,549
1855436,550
1856104,549
1856784,545
1857456,541
1858136,534
1858816,527
1859488,519
1860168,510
1860848,504
1861520,497
1862288,489
1863392,481
1864496,476
1865600,475
1866704,479
1867808,487
1868920,500
1870016,512
1871128,524
1872232,535
1873336,542
1874440,547
1875544,550
1876648,545
1877752,538
1878856,526
1879968,514
1881072,501
1882176,491
1883288,481
1884384,476
1885488,474
1886592,478
1887696,487
1888808,498
1889912,511
1891016,523
1892120,533
1893224,542
1894328,548
1895432,548
1896536,547
1897648,539
1898752,528
1899856,514
1900960,503
1902064,492
1903168,483
1904272,477
1905376,476
1906488,479
1907592,484
1908696,496
1909800,509
1910912,522
1912008,533
1913112,542
1914216,548
1915328,549
1916432,547
1917536,540
1918640,529
1919744,517
1920848,505
1921952,493
1923056,485
1924168,477
1925272,475
1926376,477
1927480,482
1928584,494
1929688,508
1930792,520
1931896,531
1933008,540
1934112,547
1935216,549
1936320,546
1937424,541
1938528,530
1939632,518
1940736,507
1941848,495
1942952,485
1944056,478
1945160,474
1946264,477
1947368,483
1948472,492
1949576,507
1950688,519
1951792,530
1952904,539
1954000,546
1955104,548
1956208,549
1957312,542
1958416,533
1959528,520
1960632,508
1961736,495
1962840,487
1963944,479
1965048,475
1966152,476
1967256,482
1968368,492
1969472,505
1970576,517
1971680,529
1972784,539
1973888,546
1974992,549
1976096,548
1977208,544
1978312,534
1979416,522
1980520,511
1981624,497
1982728,486
1983832,480
1984936,475
1986048,475
1987152,480
1988256,490
1989360,502
1990464,516
1991568,528
1992672,537
1993776,545
1994888,549
1995992,548
1997096,544
1998200,535
1999304,523
2000408,511
2001512,500
2002616,489
2003728,481
2004832,475
2005936,474
2007044,480
2008144,488
2009248,502
2010352,515
2011456,526
2012568,536
2013672,543
2014776,547
2015880,549
2016984,545
2018088,536
2019192,525
2020296,512
2021408,500
2022512,490
2023616,480
2024720,477
2025824,475
2026928,478
2028032,488
2029136,499
2030248,512
2031352,525
2032456,534
2033560,542
2034664,547
2035768,550
2036880,546
2037976,539
2039088,526
2040192,514
2041296,502
2042400,490
2043504,482
2044608,477
2045712,475
2046816,478
2047928,486
2049032,498
2050136,511
2051240,522
2052344,533
2053448,543
2054552,548
2055656,550
2056768,546
2057872,539
2058976,528
2060080,516
2061184,502
2062288,491
2063392,483
2064504,477
2065608,474
2066712,478
2067816,485
2068920,496
2070024,510
2071128,521
2072232,534
2073336,542
2074448,548
2075552,549
2076656,547
2077760,540
2078872,528
2079968,518
2081072,504
2082176,494
2083288,484
2084392,478
2085496,475
